Year,Month,Monthly Anom,Monthly Unc,Annual Anom,Annual Unc,5-year Anom,5-year Unc,10-year Anom,10-year Unc,20-year Anom,20-year Unc
1769,9,-1.175,1.264,-1.616,1.207,-1.503,0.560,-0.945,0.488,-0.973,0.679
1769,10,-4.420,1.977,-1.606,1.306,-1.460,0.556,-0.957,0.487,-0.965,0.673
1769,11,-3.788,1.912,-1.825,1.116,-1.470,0.543,-0.975,0.497,-0.955,0.667
1769,12,-5.469,3.629,-2.089,0.973,-1.491,0.538,-1.013,0.493,-0.941,0.664
1770,1,-0.972,3.609,-2.314,0.816,-1.470,0.532,-1.006,0.496,-0.923,0.661
1770,2,0.059,3.045,-2.475,0.821,-1.481,0.530,-0.983,0.503,-0.917,0.665
1770,3,-4.677,2.342,-2.508,0.841,-1.504,0.522,-0.976,0.510,-0.901,0.670
1770,4,0.389,4.351,-2.190,0.816,-1.500,0.522,-0.988,0.513,-0.872,0.681
1770,5,-1.525,1.212,-1.934,0.845,-1.507,0.527,-0.985,0.515,-0.851,0.677
1770,6,-2.210,2.044,-1.401,1.052,-1.432,0.532,-0.972,0.508,-0.838,0.673
1770,7,-3.115,3.418,-1.154,1.116,-1.389,0.531,-0.967,0.509,-0.818,0.671
1770,8,-2.772,2.141,-1.521,1.139,-1.365,0.524,-0.956,0.501,-0.813,0.673
1770,9,-1.582,1.538,-1.428,0.980,-1.328,0.535,-0.954,0.496,-0.816,0.672
1770,10,-0.605,1.842,-1.731,0.755,-1.286,0.537,-0.934,0.489,-0.803,0.670
1770,11,-0.715,3.277,-1.741,0.808,-1.219,0.537,-0.911,0.504,-0.800,0.663
1770,12,0.936,4.911,-1.551,0.742,-1.214,0.539,-0.918,0.514,-0.795,0.662
1771,1,1.991,4.470,-1.361,0.801,-1.205,0.536,-0.917,0.534,-0.786,0.648
1771,2,-4.349,2.864,-1.150,0.863,-1.183,0.538,-0.917,0.546,-0.783,0.641
1771,3,-3.557,2.968,-1.116,0.851,-1.154,0.526,-0.931,0.528,-0.783,0.639
1771,4,-3.248,3.190,-0.999,0.841,-1.132,0.512,-0.938,0.521,-0.783,0.634
1771,5,-1.641,4.025,-1.093,0.801,-1.151,0.514,-0.947,0.496,-0.789,0.634
1771,6,0.066,1.684,-1.316,0.941,-1.107,0.522,-0.940,0.489,-0.805,0.637
1771,7,-0.837,1.296,-1.604,1.607,-1.155,0.564,-0.935,0.489,-0.817,0.640
1771,8,-0.243,0.951,-1.437,1.531,-1.110,0.577,-0.926,0.499,-0.817,0.638
1771,9,-1.176,1.207,-1.401,1.434,-1.089,0.596,-0.942,0.504,-0.823,0.632
1771,10,0.807,1.659,-1.139,1.319,-1.068,0.576,-0.948,0.504,-0.814,0.629
1771,11,-1.848,2.725,-1.183,1.053,-0.997,0.567,-0.958,0.496,-0.805,0.628
1771,12,-1.732,2.938,-1.295,1.367,-0.986,0.543,-0.935,0.498,-0.783,0.623
1772,1,-1.468,3.428,-1.242,1.677,-0.951,0.524,-0.877,0.565,-0.805,0.631
1772,2,-2.349,2.882,-1.229,1.795,-0.940,0.519,-0.868,0.622,-0.816,0.613
1772,3,-3.119,2.239,-1.294,1.868,-0.948,0.517,-0.880,0.628,-0.816,0.618
1772,4,-0.108,1.908,-1.387,1.784,-0.889,0.515,-0.879,0.630,-0.814,0.611
1772,5,-2.170,1.489,-1.118,1.770,-0.880,0.534,-0.869,0.631,-0.808,0.611
1772,6,-1.272,4.081,-0.839,1.612,-0.847,0.517,-0.880,0.623,-0.799,0.608
1772,7,-0.204,4.205,-0.949,1.320,-0.810,0.538,-0.884,0.615,-0.793,0.609
1772,8,-0.095,1.745,-0.938,1.368,-0.767,0.550,-0.899,0.613,-0.785,0.606
1772,9,-1.954,1.506,-0.787,1.291,-0.663,0.554,-0.901,0.616,-0.775,0.607
1772,10,-0.309,1.978,-0.720,1.109,-0.690,0.579,-0.917,0.596,-0.766,0.609
1772,11,1.385,2.243,-0.412,1.117,-0.674,0.590,-0.938,0.594,-0.773,0.603
1772,12,1.616,3.829,-0.370,0.904,-0.663,0.608,-0.917,0.599,-0.775,0.603
1773,1,-2.786,2.909,-0.355,0.850,-0.612,0.594,-0.870,0.584,-0.780,0.586
1773,2,-2.216,2.850,-0.381,0.857,-0.560,0.587,-0.820,0.574,-0.762,0.587
1773,3,-1.318,2.050,-0.206,0.872,-0.553,0.596,-0.801,0.559,-0.746,0.593
1773,4,0.704,2.291,-0.209,0.843,-0.528,0.608,-0.768,0.566,-0.738,0.591
1773,5,1.529,1.821,-0.564,0.867,-0.484,0.695,-0.751,0.573,-0.729,0.585
1773,6,-0.775,1.310,-0.562,0.839,-0.540,0.767,-0.758,0.583,-0.713,0.586
1773,7,-0.019,1.249,-0.607,1.101,-0.633,0.866,-0.744,0.596,-0.718,0.585
1773,8,-0.413,1.424,-0.322,1.343,-0.544,0.847,-0.735,0.608,-0.714,0.578
1773,9,0.147,1.708,-0.214,1.544,-0.512,0.798,-0.712,0.624,-0.719,0.573
1773,10,-0.344,1.474,-0.143,1.598,-0.485,0.784,-0.710,0.626,-0.715,0.569
1773,11,-2.871,3.624,0.174,1.998,-0.483,0.712,-0.716,0.646,-0.722,0.566
1773,12,1.640,3.246,0.375,1.756,-0.475,0.755,-0.723,0.682,-0.720,0.569
1774,1,-3.334,2.943,0.517,1.698,-0.472,0.777,-0.733,0.716,-0.714,0.582
1774,2,1.206,4.637,0.534,1.465,-0.458,0.846,-0.711,0.721,-0.731,0.587
1774,3,-0.015,3.799,0.388,1.398,-0.470,0.876,-0.692,0.745,-0.731,0.595
1774,4,1.556,2.943,0.341,1.389,-0.511,0.888,-0.685,0.747,-0.727,0.599
1774,5,5.326,2.037,0.311,1.522,-0.489,0.887,-0.673,0.764,-0.726,0.588
1774,6,1.643,2.633,-0.120,1.359,-0.441,0.932,-0.691,0.780,-0.715,0.586
1774,7,1.678,1.357,0.265,0.935,-0.362,0.914,-0.695,0.790,-0.704,0.588
1774,8,-0.211,2.681,0.381,0.879,-0.302,0.960,-0.689,0.815,-0.691,0.588
1774,9,-1.605,2.252,0.515,0.991,-0.257,0.957,-0.675,0.828,-0.692,0.580
1774,10,-0.900,1.480,0.281,1.138,-0.298,0.942,-0.637,0.836,-0.703,0.589
1774,11,-3.238,3.742,-0.211,1.530,-0.268,0.984,-0.607,0.837,-0.706,0.594
1774,12,-3.522,3.116,-0.473,1.603,-0.269,0.941,-0.571,0.845,-0.711,0.608
1775,1,1.288,3.990,-0.619,1.604,-0.299,0.914,-0.563,0.863,-0.718,0.611
1775,2,2.594,3.322,-0.573,1.535,-0.316,0.912,-0.558,0.864,-0.726,0.617
1775,3,1.597,2.295,-0.535,1.489,-0.298,0.945,-0.521,0.871,-0.740,0.622
1775,4,-1.258,1.987,-0.386,1.521,-0.333,0.941,-0.486,0.909,-0.749,0.624
1775,5,-0.578,2.141,0.044,1.735,-0.369,0.936,-0.445,0.918,-0.751,0.626
1775,6,-1.498,3.167,0.137,2.016,-0.401,0.994,-0.423,0.920,-0.737,0.615
1775,7,-0.082,1.440,-0.270,2.192,-0.350,0.953,-0.386,0.906,-0.734,0.615
1775,8,0.351,2.617,-0.406,1.962,-0.274,0.956,-0.371,0.907,-0.728,0.612
1775,9,-1.151,2.462,-0.672,1.777,-0.274,0.968,-0.380,0.917,-0.729,0.610
1775,10,0.888,1.606,-0.706,1.793,-0.250,1.009,-0.372,0.920,-0.727,0.607
1775,11,1.921,3.301,-0.785,1.596,-0.282,1.037,-0.366,0.936,-0.725,0.599
1775,12,-2.414,3.532,-0.611,1.489,-0.303,1.057,-0.384,0.956,-0.727,0.599
1776,1,-3.593,3.500,-0.661,1.548,-0.283,1.072,-0.401,0.966,-0.719,0.600
1776,2,0.959,2.936,-0.639,1.787,-0.287,1.112,-0.372,0.959,-0.726,0.611
1776,3,-1.595,2.850,-0.701,1.881,-0.270,1.117,-0.347,0.948,-0.724,0.611
1776,4,-1.658,2.199,-0.916,1.923,-0.288,1.133,-0.332,0.924,-0.718,0.600
